Notice Date,Effective Date,Received,Company,City,No. Of Employees,Layoff/Closure,,
6/5/14,8/1/14,6/5/14,Bags Inc.,Long Beach,60,Layoff,Permanent,
6/4/14,8/8/14,6/4/14,AChmrgyselnerInJce.ep Dodge,Thousand Oaks,59,Layoff,Permanent,
6/3/14,8/4/14,6/5/14,"Actavis, Inc.",Corona,58,Layoff,Permanent,
6/23/14,8/29/14,6/30/14,NBCUniversal/CP Entertainment Services,Universal City,58,Layoff,Not,known
6/16/14,5/2/14,6/24/14,"PDleavzeal odpe mlae nRtaza Child Development Services,",Pico Rivera,52,Layoff,Permanent,
6/18/14,8/17/14,6/19/14,JWeeellps DFoadrggoe,San Leandro,52,Layoff,Not,known
6/23/14,8/24/14,6/30/14,California Pizza Kitchen,Palo Alto,52,Closure,Permanent,
6/3/14,8/8/14,6/4/14,Xerox Business Services,Los Angeles,51,Layoff,Permanent,
5/27/14,7/22/14,5/28/14,Bank of America,Brea,50,Layoff,Permanent,
5/1/14,6/30/14,5/2/14,"ECaasmy pLuifse Furniture, Inc.",Buena Park,47,Closure,Permanent,
6/5/14,8/6/14,6/10/14,JSeaenp LDuiosdRgeey Downs Golf Course,Bonsall,47,Closure,Permanent,
6/10/14,8/13/14,6/10/14,"Motorola Solutions, Inc.",San Jose,45,Layoff,Permanent,
6/23/14,8/29/14,6/30/14,NBCUniversal/E Network Productions LLC,Universal City,45,Layoff,Permanent,
6/27/14,8/16/14,6/30/14,"United Spiral Pipe, LLC",Pittsburg,44,Layoff,Not,known
5/30/14,6/18/14,6/2/14,Symantec Corporation,Mountain View,42,Layoff,Permanent,
6/12/14,6/13/14,6/16/14,Hewlett-Packard Company,Palo Alto,36,Layoff,Permanent,
5/15/14,5/16/14,5/19/14,Hewlett-Packard Company,Palo Alto,34,Layoff,Permanent,
6/20/14,8/20/14,6/24/14,California Superstores Sacramento KIA,Sacramento,34,Closure,Not,known
6/27/14,8/31/14,6/27/14,"MV Transportation, Inc.",Barstow,30,Layoff,Permanent,
5/13/14,7/30/14,5/16/14,Exel-Mondelez,Stockton,28,Closure,Permanent,
5/14/14,5/13/14,5/21/14,Children's Hospital of Orange County,Orange,28,Layoff,Permanent,
6/23/14,9/1/14,6/23/14,"MiTek USA, Inc.",Livermore,28,Closure,Permanent,
4/29/14,6/30/14,4/29/14,"Trius Therapeutics, Inc.",San Diego,27,Layoff,Not,known
5/22/14,7/20/14,5/27/14,Bank of America,Los Angeles,22,Layoff,Permanent,
5/15/14,7/14/14,5/19/14,Intuit Inc.,Menlo Park,21,Layoff,Permanent,
6/17/14,8/11/14,6/17/14,TChaemrpmuassol,Simi Valley,21,Closure,Not,known
5/2/14,6/30/14,5/8/14,ITT Canon LLC,Santa Ana,19,Layoff,Permanent,
6/4/14,8/15/14,6/10/14,"Supertex, Inc.",Sunnyvale,19,Layoff,Permanent,
5/13/14,7/3/14,5/13/14,Sheraton Los Angeles Downtown Hotel,Los Angeles,17,Layoff,Temporary,
5/27/14,7/28/14,5/28/14,Beverly Hospital,Montebello,16,Layoff,Permanent,
4/28/14,6/27/14,5/1/14,"Supertex, Inc.",Sunnyvale,15,Layoff,Permanent,
6/9/14,8/8/14,6/16/14,"PSS World Medical, Inc. - McKesson",Santa Ana,14,Closure,Permanent,
4/30/14,6/15/14,5/5/14,Symantec Corporation,Mountain View,12,Layoff,Permanent,
6/12/14,7/31/14,6/18/14,"EMmanaonru/Caly pMreedsiscaolf CEemntaenru,eIlnc./Office of",Turlock,9,Layoff,Not,known
5/5/14,7/7/14,5/8/14,Sutter East Bay Hospitals - ABSMC Summit,Oakland,8,Layoff,Permanent,
5/7/14,7/7/14,5/15/14,"Intuit, Inc.",Menlo Park,7,Layoff,Permanent,
6/5/14,8/3/14,6/9/14,Bank of America,Concord,7,Layoff,Permanent,
4/28/14,8/1/14,5/2/14,"Genesis Acquisition Management, Inc.",Simi Valley,4,Layoff,Permanent,
4/30/14,7/3/14,5/8/14,Sutter East Bay Hospitals-Providence Pavillion,Oakland,4,Layoff,Permanent,
5/6/14,7/1/14,5/7/14,Actavis,Corona,2,Layoff,Permanent,
6/16/14,8/15/14,6/24/14,IAnltca. Bates Summit Medical Center/Summit,Oakland,1,Layoff,Permanent,
,,,,,,,,
,,,,,12896,,,
